Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status,aart,advbench,anthropic_redteam,bad,bbq,beavertails_bad,cona,confaide,controversial_instructions,cyberattack_assistance,dan_jailbreak,dan_regular,decoding_trust_machine_ethics,decoding_trust_privacy,decoding_trust_stereotype,dialogue_safety,dices350,do_not_answer,do_not_answer_fn,do_not_answer_fp,gandalf_ignore_instructions,hack_4_prompt,harm_bench,harmfulq,hex_phi,hypothesis_stereotypes,latent_jailbreak,librai_adv_deep_inception,librai_adv_do_anything_now,librai_adv_effect_to_cause,librai_adv_few_shots,librai_adv_multilingual,librai_adv_one_sided_statement,librai_adv_persona_modulation,librai_adv_prompt_injection,librai_adv_refusal_suppression,librai_adv_tense_change,malicious_instruct,malicious_instructions,moral_choice,personalinfoleack_few_shot,physical_safety_instructions_safe,physical_safety_instructions_unsafe,prompt_extraction_robustness,prompt_injection,promptinjectionrobustness,red_eval_dangerousqa,red_eval_harmfulqa,safe_text,simple_safety_test,sp_misconceptions,sycophancy_eval_answer,sycophancy_eval_are_you_sure,tdc_red_teaming,toxigen,truthful_qa_mc1,xstest,Unnamed: 81
2313.0,chat,mistralai/Mistral-7B-Instruct-v0.3,19.17,0.55,0.47,0.04,0.28,0.37,0.31,bfloat16,7.248B,apache-2.0,0.54 kg,1315.0,5月22日,6月12日,1.0,mistralai/Mistral-7B-v0.3,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779.0,pretrained,mistralai/Mistral-7B-v0.1,14.56,0.24,0.44,0.03,0.29,0.41,0.3,bfloat16,7.242B,apache-2.0,0.68 kg,3556.0,9月20日,6月12日,0.0,mistralai/Mistral-7B-v0.1,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810.0,pretrained,mistralai/Mistral-7B-v0.3,14.22,0.23,0.45,0.03,0.29,0.4,0.3,bfloat16,7.248B,apache-2.0,0.66 kg,426.0,5月22日,6月12日,0.0,mistralai/Mistral-7B-v0.3,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162.0,chat,mistralai/Mistral-Large-Instruct-2411,38.46,0.84,0.67,0.01,0.44,0.45,0.56,float16,122.61B,other,26.27 kg,198.0,11月14日,11月19日,0.0,mistralai/Mistral-Large-Instruct-2411,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730.0,pretrained,mistralai/Mistral-Nemo-Base-2407,15.14,0.16,0.5,0.05,0.29,0.39,0.35,bfloat16,11.58B,apache-2.0,1.70 kg,288.0,7月18日,7月19日,0.0,mistralai/Mistral-Nemo-Base-2407,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484.0,chat,mistralai/Mistral-Nemo-Instruct-2407,23.63,0.64,0.5,0.06,0.29,0.39,0.35,bfloat16,12.248B,apache-2.0,3.00 kg,1442.0,7月17日,8月29日,1.0,mistralai/Mistral-Nemo-Base-2407,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980.0,pretrained,mistralai/Mistral-Small-24B-Base-2501,27.07,0.17,0.64,0.19,0.39,0.42,0.54,bfloat16,23.572B,apache-2.0,2.86 kg,200.0,1月23日,1月30日,0.0,mistralai/Mistral-Small-24B-Base-2501,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697.0,fine-tuned,mistralai/Mistral-Small-Instruct-2409,29.82,0.63,0.58,0.2,0.33,0.41,0.41,float16,22.247B,other,1.61 kg,378.0,9月17日,9月25日,0.0,mistralai/Mistral-Small-Instruct-2409,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055.0,chat,mistralai/Mistral-Small-Instruct-2409,26.26,0.67,0.52,0.14,0.32,0.36,0.4,bfloat16,22.05B,other,1.38 kg,378.0,9月17日,9月19日,0.0,mistralai/Mistral-Small-Instruct-2409,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400.0,chat,mistralai/Mixtral-8x22B-Instruct-v0.1,33.89,0.72,0.61,0.19,0.37,0.43,0.45,bfloat16,140.621B,apache-2.0,47.15 kg,710.0,4月16日,6月12日,1.0,mistralai/Mixtral-8x22B-v0.1,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118.0,pretrained,mistralai/Mixtral-8x22B-v0.1,25.73,0.26,0.62,0.18,0.38,0.4,0.46,bfloat16,140.621B,apache-2.0,104.70 kg,209.0,4月16日,6月12日,0.0,mistralai/Mixtral-8x22B-v0.1,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242.0,fine-tuned,mistralai/Mixtral-8x7B-v0.1,19.67,0.23,0.51,0.09,0.32,0.44,0.39,float16,46.703B,apache-2.0,5.14 kg,1667.0,12月1日,6月27日,0.0,mistralai/Mixtral-8x7B-v0.1,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2278.0,pretrained,mistralai/Mixtral-8x7B-v0.1,19.45,0.24,0.51,0.1,0.31,0.43,0.38,bfloat16,46.703B,apache-2.0,18.39 kg,1667.0,12月1日,8月20日,0.0,mistralai/Mixtral-8x7B-v0.1,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480.0,chat,mlabonne/AlphaMonarch-7B,17.66,0.49,0.46,0.04,0.27,0.41,0.25,float16,7.242B,cc-by-nc-4.0,0.57 kg,149.0,2月14日,6月12日,1.0,mlabonne/AlphaMonarch-7B (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2288.0,merge,mlabonne/Beyonder-4x7B-v3,19.38,0.56,0.47,0.05,0.29,0.4,0.25,float16,24.154B,cc-by-nc-4.0,1.39 kg,58.0,3月21日,6月12日,1.0,mlabonne/Beyonder-4x7B-v3 (Merge),Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204.0,merge,mlabonne/BigQwen2.5-52B-Instruct,37.56,0.79,0.71,0.19,0.3,0.41,0.55,bfloat16,52.268B,apache-2.0,27.56 kg,5.0,9月23日,9月25日,1.0,mlabonne/BigQwen2.5-52B-Instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634.0,merge,mlabonne/BigQwen2.5-Echo-47B-Instruct,30.32,0.74,0.61,0.04,0.31,0.41,0.47,bfloat16,47.392B,apache-2.0,8.52 kg,3.0,9月23日,9月24日,1.0,mlabonne/BigQwen2.5-Echo-47B-Instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163.0,merge,mlabonne/ChimeraLlama-3-8B-v2,20.13,0.45,0.5,0.09,0.29,0.38,0.36,float16,8.03B,other,0.84 kg,14.0,4月22日,8月25日,1.0,mlabonne/ChimeraLlama-3-8B-v2 (Merge),No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2083.0,merge,mlabonne/ChimeraLlama-3-8B-v3,20.68,0.44,0.5,0.09,0.29,0.4,0.37,float16,8.03B,other,0.82 kg,15.0,5月1日,8月25日,1.0,mlabonne/ChimeraLlama-3-8B-v3 (Merge),No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757.0,fine-tuned,mlabonne/Daredevil-8B,22.31,0.45,0.52,0.1,0.31,0.39,0.38,bfloat16,8.03B,other,1.51 kg,36.0,5月25日,7月2日,1.0,mlabonne/Daredevil-8B (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2232.0,fine-tuned,mlabonne/Daredevil-8B-abliterated,19.73,0.44,0.43,0.1,0.29,0.41,0.37,bfloat16,8.03B,other,1.20 kg,35.0,5月26日,7月2日,0.0,mlabonne/Daredevil-8B-abliterated,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554.0,fine-tuned,mlabonne/Hermes-3-Llama-3.1-70B-lorablated,31.54,0.34,0.67,0.21,0.37,0.5,0.47,bfloat16,70.554B,-,30.88 kg,26.0,8月16日,11月27日,1.0,mlabonne/Hermes-3-Llama-3.1-70B-lorablated (Merge),No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551.0,fine-tuned,mlabonne/Meta-Llama-3.1-8B-Instruct-abliterated,23.29,0.73,0.49,0.07,0.26,0.36,0.35,bfloat16,8.03B,llama3.1,2.45 kg,151.0,7月24日,10月13日,2.0,meta-llama/Meta-Llama-3.1-8B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2344.0,chat,mlabonne/NeuralBeagle14-7B,18.95,0.49,0.46,0.05,0.28,0.43,0.26,float16,7.242B,cc-by-nc-4.0,0.67 kg,158.0,1月15日,6月27日,2.0,mlabonne/Beagle14-7B (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.0,merge,mlabonne/NeuralDaredevil-8B-abliterated,27.15,0.76,0.51,0.09,0.31,0.4,0.38,float16,8.03B,llama3,2.71 kg,176.0,5月27日,7月25日,0.0,mlabonne/NeuralDaredevil-8B-abliterated,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915.0,fine-tuned,mlabonne/NeuralDaredevil-8B-abliterated,21.5,0.42,0.51,0.09,0.3,0.41,0.38,bfloat16,8.03B,llama3,0.99 kg,176.0,5月27日,6月27日,0.0,mlabonne/NeuralDaredevil-8B-abliterated,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749.0,chat,mlabonne/OrpoLlama-3-8B,14.98,0.37,0.44,0.05,0.28,0.36,0.27,float16,8.03B,other,0.89 kg,54.0,4月18日,6月12日,1.0,meta-llama/Meta-Llama-3-8B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.0,merge,mlabonne/phixtral-2x2_8,15.46,0.34,0.49,0.03,0.27,0.36,0.26,float16,4.458B,mit,0.96 kg,148.0,1月7日,6月12日,0.0,mlabonne/phixtral-2x2_8,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3489.0,pretrained,mosaicml/mpt-7b,5.99,0.22,0.33,0.01,0.26,0.37,0.12,bfloat16,7B,apache-2.0,0.64 kg,1163.0,5月5日,6月8日,0.0,mosaicml/mpt-7b,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3197.0,fine-tuned,Nexusflow/NexusRaven-V2-13B,8.31,0.18,0.39,0.02,0.26,0.37,0.19,bfloat16,13B,other,1.09 kg,466.0,12月4日,6月12日,1.0,codellama/CodeLlama-13b-Instruct-hf,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870.0,chat,NousResearch/Hermes-2-Pro-Llama-3-8B,21.7,0.54,0.51,0.06,0.29,0.43,0.31,float16,8.031B,llama3,0.75 kg,416.0,4月30日,6月13日,1.0,NousResearch/Meta-Llama-3-8B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873.0,chat,NousResearch/Hermes-2-Pro-Mistral-7B,21.7,0.57,0.5,0.05,0.27,0.44,0.29,bfloat16,7.242B,apache-2.0,0.47 kg,489.0,3月11日,6月12日,1.0,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229.0,fine-tuned,NousResearch/Hermes-2-Theta-Llama-3-8B,24.78,0.65,0.52,0.1,0.3,0.39,0.34,bfloat16,8.03B,apache-2.0,0.74 kg,198.0,5月5日,7月11日,2.0,NousResearch/Meta-Llama-3-8B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207.0,chat,NousResearch/Hermes-3-Llama-3.1-70B,37.48,0.77,0.68,0.15,0.36,0.49,0.47,bfloat16,70.554B,llama3,11.21 kg,105.0,7月29日,8月28日,1.0,meta-llama/Meta-Llama-3.1-70B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512.0,chat,NousResearch/Hermes-3-Llama-3.1-8B,23.49,0.62,0.52,0.05,0.3,0.44,0.31,bfloat16,8.03B,llama3,0.91 kg,290.0,7月28日,8月28日,1.0,meta-llama/Meta-Llama-3.1-8B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734.0,chat,NousResearch/Hermes-3-Llama-3.2-3B,15.12,0.38,0.44,0.03,0.28,0.4,0.25,bfloat16,3.213B,llama3,1.10 kg,135.0,12月3日,12月20日,1.0,Removed,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.0,chat,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,21.04,0.58,0.49,0.04,0.29,0.4,0.3,bfloat16,7.242B,apache-2.0,0.47 kg,174.0,2月18日,6月12日,1.0,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958.0,chat,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,27.29,0.59,0.55,0.12,0.32,0.46,0.37,bfloat16,46.703B,apache-2.0,12.87 kg,421.0,1月11日,7月27日,1.0,mistralai/Mixtral-8x7B-v0.1,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836.0,chat,NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,21.84,0.57,0.51,0.02,0.3,0.42,0.31,bfloat16,46.703B,apache-2.0,10.39 kg,56.0,12月26日,6月12日,1.0,mistralai/Mixtral-8x7B-v0.1,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540.0,chat,NousResearch/Nous-Hermes-2-SOLAR-10.7B,23.36,0.53,0.54,0.05,0.29,0.44,0.35,bfloat16,10.732B,apache-2.0,0.64 kg,204.0,1月1日,6月12日,1.0,upstage/SOLAR-10.7B-v1.0,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3138.0,fine-tuned,NousResearch/Nous-Hermes-llama-2-7b,9.29,0.17,0.38,0.01,0.26,0.43,0.19,bfloat16,6.738B,mit,2.56 kg,68.0,7月25日,6月12日,0.0,NousResearch/Nous-Hermes-llama-2-7b,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3186.0,pretrained,NousResearch/Yarn-Llama-2-13b-128k,8.42,0.17,0.38,0.01,0.26,0.35,0.23,bfloat16,13B,-,51.94 kg,113.0,8月30日,6月13日,0.0,NousResearch/Yarn-Llama-2-13b-128k,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3423.0,pretrained,NousResearch/Yarn-Llama-2-7b-128k,6.7,0.15,0.32,0.01,0.26,0.4,0.18,bfloat16,7B,-,0.84 kg,39.0,8月31日,6月13日,0.0,NousResearch/Yarn-Llama-2-7b-128k,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3310.0,pretrained,NousResearch/Yarn-Llama-2-7b-64k,7.13,0.17,0.33,0.01,0.26,0.39,0.18,bfloat16,7B,-,0.83 kg,23.0,8月30日,6月13日,0.0,NousResearch/Yarn-Llama-2-7b-64k,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2909.0,pretrained,NousResearch/Yarn-Mistral-7b-128k,13.22,0.19,0.43,0.03,0.3,0.41,0.29,bfloat16,7B,apache-2.0,0.55 kg,572.0,10月31日,6月12日,0.0,NousResearch/Yarn-Mistral-7b-128k,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883.0,pretrained,NousResearch/Yarn-Mistral-7b-64k,13.5,0.21,0.43,0.03,0.29,0.41,0.29,bfloat16,7B,apache-2.0,0.54 kg,51.0,10月31日,6月12日,0.0,NousResearch/Yarn-Mistral-7b-64k,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683.0,pretrained,NousResearch/Yarn-Solar-10b-32k,15.72,0.19,0.5,0.03,0.3,0.41,0.33,bfloat16,10B,apache-2.0,1.39 kg,10.0,1月17日,6月12日,0.0,NousResearch/Yarn-Solar-10b-32k,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731.0,pretrained,NousResearch/Yarn-Solar-10b-64k,15.12,0.2,0.49,0.03,0.3,0.4,0.31,bfloat16,10B,apache-2.0,0.76 kg,15.0,1月17日,6月12日,0.0,NousResearch/Yarn-Solar-10b-64k,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2937.0,fine-tuned,nvidia/AceInstruct-1.5B,12.9,0.39,0.39,0,0.27,0.35,0.26,bfloat16,1.777B,cc-by-nc-4.0,0.85 kg,11.0,1月15日,1月24日,0.0,nvidia/AceInstruct-1.5B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614.0,fine-tuned,nvidia/AceInstruct-72B,30.66,0.71,0.61,0.04,0.32,0.42,0.49,bfloat16,72.706B,cc-by-nc-4.0,40.39 kg,11.0,1月15日,1月24日,0.0,nvidia/AceInstruct-72B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314.0,fine-tuned,nvidia/AceInstruct-7B,24.3,0.54,0.55,0,0.31,0.43,0.42,bfloat16,7.616B,cc-by-nc-4.0,0.93 kg,5.0,1月15日,1月24日,0.0,nvidia/AceInstruct-7B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3039.0,chat,nvidia/AceMath-1.5B-Instruct,11.38,0.32,0.4,0,0.27,0.36,0.21,bfloat16,1.777B,cc-by-nc-4.0,0.83 kg,4.0,1月13日,1月24日,0.0,nvidia/AceMath-1.5B-Instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232.0,chat,nvidia/AceMath-72B-Instruct,24.76,0.49,0.64,0,0.27,0.41,0.44,bfloat16,72.706B,cc-by-nc-4.0,44.01 kg,6.0,1月14日,1月24日,0.0,nvidia/AceMath-72B-Instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3781.0,fine-tuned,nvidia/AceMath-72B-RM,3.43,0.14,0.27,0,0.23,0.34,0.12,bfloat16,71.461B,cc-by-nc-4.0,75.00 kg,6.0,1月14日,1月24日,0.0,nvidia/AceMath-72B-RM,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2226.0,chat,nvidia/AceMath-7B-Instruct,19.77,0.45,0.5,0,0.29,0.42,0.34,bfloat16,7.616B,cc-by-nc-4.0,0.99 kg,9.0,1月13日,1月24日,0.0,nvidia/AceMath-7B-Instruct,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3797.0,fine-tuned,nvidia/AceMath-7B-RM,3.22,0.15,0.24,0,0.25,0.36,0.11,bfloat16,7.071B,cc-by-nc-4.0,0.68 kg,5.0,1月14日,1月24日,0.0,nvidia/AceMath-7B-RM,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3227.0,pretrained,nvidia/Hymba-1.5B-Base,7.92,0.23,0.33,0.01,0.26,0.36,0.19,bfloat16,1.523B,other,9.11 kg,138.0,10月9日,12月6日,0.0,nvidia/Hymba-1.5B-Base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2863.0,chat,nvidia/Hymba-1.5B-Instruct,13.74,0.6,0.31,0,0.29,0.33,0.2,bfloat16,1.523B,other,6.71 kg,222.0,10月31日,12月6日,1.0,nvidia/Hymba-1.5B-Instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026.0,fine-tuned,nvidia/Llama-3.1-Minitron-4B-Depth-Base,11.53,0.16,0.42,0.01,0.26,0.4,0.28,bfloat16,4.02B,other,0.47 kg,20.0,8月13日,9月25日,0.0,nvidia/Llama-3.1-Minitron-4B-Depth-Base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368.0,chat,nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,34.58,0.74,0.63,0.29,0.26,0.43,0.49,bfloat16,70.554B,llama3.1,13.63 kg,2014.0,10月12日,10月16日,2.0,meta-llama/Meta-Llama-3.1-70B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2993.0,pretrained,nvidia/Minitron-4B-Base,11.94,0.22,0.41,0.02,0.27,0.41,0.26,bfloat16,4B,other,1.19 kg,129.0,7月19日,9月25日,0.0,nvidia/Minitron-4B-Base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822.0,pretrained,nvidia/Minitron-8B-Base,14.18,0.24,0.44,0.02,0.27,0.4,0.32,bfloat16,7.22B,other,1.41 kg,63.0,7月19日,9月25日,0.0,nvidia/Minitron-8B-Base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479.0,fine-tuned,nvidia/Mistral-NeMo-Minitron-8B-Base,17.66,0.19,0.52,0.05,0.33,0.41,0.38,bfloat16,7.88B,other,3.40 kg,169.0,8月19日,8月22日,0.0,nvidia/Mistral-NeMo-Minitron-8B-Base,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866.0,chat,nvidia/Mistral-NeMo-Minitron-8B-Instruct,21.72,0.5,0.53,0.01,0.29,0.39,0.4,bfloat16,8.414B,other,1.99 kg,72.0,10月2日,10月4日,1.0,nvidia/Mistral-NeMo-Minitron-8B-Instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455.0,chat,nvidia/Nemotron-Mini-4B-Instruct,17.94,0.67,0.39,0,0.28,0.38,0.26,bfloat16,4B,other,1.12 kg,148.0,9月10日,9月25日,1.0,nvidia/Minitron-4B-Base,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3152.0,fine-tuned,nvidia/OpenMath2-Llama3.1-8B,8.99,0.23,0.41,0.04,0.27,0.34,0.16,float16,8.03B,llama3.1,1.63 kg,26.0,9月30日,12月7日,1.0,nvidia/OpenMath2-Llama3.1-8B (Merge),No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475.0,chat,Open-Orca/Mistral-7B-OpenOrca,17.7,0.5,0.48,0.03,0.27,0.39,0.27,bfloat16,7B,apache-2.0,0.53 kg,677.0,9月29日,6月12日,0.0,Open-Orca/Mistral-7B-OpenOrca,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3438.0,pretrained,openai-community/gpt2,6.51,0.18,0.3,0,0.26,0.45,0.12,bfloat16,0.137B,mit,0.09 kg,2550.0,3月2日,6月12日,0.0,openai-community/gpt2,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
