Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status,aart,advbench,anthropic_redteam,bad,bbq,beavertails_bad,cona,confaide,controversial_instructions,cyberattack_assistance,dan_jailbreak,dan_regular,decoding_trust_machine_ethics,decoding_trust_privacy,decoding_trust_stereotype,dialogue_safety,dices350,do_not_answer,do_not_answer_fn,do_not_answer_fp,gandalf_ignore_instructions,hack_4_prompt,harm_bench,harmfulq,hex_phi,hypothesis_stereotypes,latent_jailbreak,librai_adv_deep_inception,librai_adv_do_anything_now,librai_adv_effect_to_cause,librai_adv_few_shots,librai_adv_multilingual,librai_adv_one_sided_statement,librai_adv_persona_modulation,librai_adv_prompt_injection,librai_adv_refusal_suppression,librai_adv_tense_change,malicious_instruct,malicious_instructions,moral_choice,personalinfoleack_few_shot,physical_safety_instructions_safe,physical_safety_instructions_unsafe,prompt_extraction_robustness,prompt_injection,promptinjectionrobustness,red_eval_dangerousqa,red_eval_harmfulqa,safe_text,simple_safety_test,sp_misconceptions,sycophancy_eval_answer,sycophancy_eval_are_you_sure,tdc_red_teaming,toxigen,truthful_qa_mc1,xstest,Unnamed: 81
2412.0,chat,gradientai/Llama-3-8B-Instruct-Gradient-1048k,18.25,0.45,0.43,0.05,0.28,0.43,0.29,bfloat16,8.03B,llama3,0.89 kg,679.0,4月29日,6月12日,0.0,gradientai/Llama-3-8B-Instruct-Gradient-1048k,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2382.0,chat,HuggingFaceH4/zephyr-7b-alpha,18.57,0.52,0.46,0.02,0.3,0.39,0.28,bfloat16,7.242B,mit,0.80 kg,1104.0,10月9日,6月12日,1.0,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469.0,chat,HuggingFaceH4/zephyr-7b-beta,17.77,0.5,0.43,0.03,0.29,0.39,0.28,bfloat16,7.242B,mit,0.56 kg,1651.0,10月26日,6月12日,1.0,mistralai/Mistral-7B-v0.1,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659.0,chat,HuggingFaceH4/zephyr-7b-gemma-v0.1,15.93,0.34,0.46,0.08,0.29,0.37,0.28,bfloat16,8.538B,other,1.48 kg,122.0,3月1日,6月12日,2.0,google/gemma-7b,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387.0,chat,HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,34.06,0.65,0.63,0.2,0.38,0.45,0.46,float16,140.621B,apache-2.0,42.07 kg,265.0,4月10日,6月12日,1.0,mistral-community/Mixtral-8x22B-v0.1,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3552.0,pretrained,HuggingFaceTB/SmolLM-1.7B,5.43,0.24,0.32,0.01,0.24,0.34,0.11,bfloat16,1.71B,apache-2.0,0.32 kg,168.0,7月14日,7月18日,0.0,HuggingFaceTB/SmolLM-1.7B,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579.0,chat,HuggingFaceTB/SmolLM-1.7B-Instruct,5.14,0.23,0.29,0,0.26,0.35,0.12,bfloat16,1.71B,apache-2.0,0.32 kg,109.0,7月15日,7月18日,1.0,HuggingFaceTB/SmolLM-1.7B,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3395.0,pretrained,HuggingFaceTB/SmolLM-135M,6.84,0.21,0.3,0.01,0.26,0.44,0.11,bfloat16,0.13B,apache-2.0,0.34 kg,191.0,7月14日,7月18日,0.0,HuggingFaceTB/SmolLM-135M,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3769.0,chat,HuggingFaceTB/SmolLM-135M-Instruct,3.56,0.12,0.3,0,0.26,0.36,0.12,bfloat16,0.135B,apache-2.0,0.47 kg,104.0,7月15日,10月12日,1.0,HuggingFaceTB/SmolLM-135M,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478.0,pretrained,HuggingFaceTB/SmolLM-360M,6.15,0.21,0.31,0,0.27,0.4,0.11,bfloat16,0.36B,apache-2.0,0.37 kg,62.0,7月14日,7月18日,0.0,HuggingFaceTB/SmolLM-360M,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3637.0,chat,HuggingFaceTB/SmolLM-360M-Instruct,4.71,0.2,0.29,0,0.26,0.35,0.12,bfloat16,0.362B,apache-2.0,0.37 kg,80.0,7月15日,8月20日,1.0,HuggingFaceTB/SmolLM-360M,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3123.0,pretrained,HuggingFaceTB/SmolLM2-1.7B,9.5,0.24,0.35,0.02,0.28,0.35,0.21,bfloat16,1.71B,apache-2.0,0.33 kg,91.0,10月30日,11月6日,0.0,HuggingFaceTB/SmolLM2-1.7B,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766.0,chat,HuggingFaceTB/SmolLM2-1.7B-Instruct,14.75,0.54,0.36,0.04,0.28,0.34,0.21,bfloat16,1.711B,apache-2.0,0.63 kg,501.0,10月31日,11月6日,1.0,HuggingFaceTB/SmolLM2-1.7B-Instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533.0,pretrained,HuggingFaceTB/SmolLM2-135M,5.56,0.18,0.3,0,0.25,0.41,0.11,bfloat16,0.135B,apache-2.0,0.33 kg,55.0,10月31日,11月6日,0.0,HuggingFaceTB/SmolLM2-135M,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443.0,chat,HuggingFaceTB/SmolLM2-135M-Instruct,6.47,0.29,0.31,0,0.24,0.37,0.11,bfloat16,0.135B,apache-2.0,0.34 kg,99.0,10月31日,11月6日,1.0,HuggingFaceTB/SmolLM2-135M-Instruct (Merge),Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
